STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,airpol,Air pollutants and greenhouse gases,src_nfr,"Source sectors for emissions of air pollutants (Nomenclature for reporting, CLRTAP)",geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ENV_AIR_EMIS$DEFAULTVIEW(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CO,Carbon monoxide,NFR1A1A,Public electricity and heat production,AT,Austria,2014,,3880,,,,,
dataflow,ESTAT:ENV_AIR_EMIS$DEFAULTVIEW(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CO,Carbon monoxide,NFR1A1A,Public electricity and heat production,AT,Austria,2015,,4200,,,,,
dataflow,ESTAT:ENV_AIR_EMIS$DEFAULTVIEW(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CO,Carbon monoxide,NFR1A1A,Public electricity and heat production,AT,Austria,2016,,4010,,,,,
dataflow,ESTAT:ENV_AIR_EMIS$DEFAULTVIEW(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CO,Carbon monoxide,NFR1A1A,Public electricity and heat production,AT,Austria,2017,,4210,,,,,
dataflow,ESTAT:ENV_AIR_EMIS$DEFAULTVIEW(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CO,Carbon monoxide,NFR1A1A,Public electricity and heat production,AT,Austria,2018,,4080,,,,,
dataflow,ESTAT:ENV_AIR_EMIS$DEFAULTVIEW(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CO,Carbon monoxide,NFR1A1A,Public electricity and heat production,AT,Austria,2019,,3950,,,,,
dataflow,ESTAT:ENV_AIR_EMIS$DEFAULTVIEW(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CO,Carbon monoxide,NFR1A1A,Public electricity and heat production,AT,Austria,2020,,3990,,,,,
dataflow,ESTAT:ENV_AIR_EMIS$DEFAULTVIEW(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CO,Carbon monoxide,NFR1A1A,Public electricity and heat production,AT,Austria,2021,,4310,,,,,
dataflow,ESTAT:ENV_AIR_EMIS$DEFAULTVIEW(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CO,Carbon monoxide,NFR1A1A,Public electricity and heat production,AT,Austria,2022,,4220,,,,,
dataflow,ESTAT:ENV_AIR_EMIS$DEFAULTVIEW(1.0),Air pollutants by source sector,A,Annual,T,Tonne,CO,Carbon monoxide,NFR1A1A,Public electricity and heat production,AT,Austria,2023,,3930,,,,,
