STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,c_resid,Country of residence,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TOUR_OCC_NIM(1.0),Nights spent at tourist accommodation establishments - monthly data,M,Monthly,TOTAL,Total,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",AL,Albania,2024-11,,311262,,,,,
dataflow,ESTAT:TOUR_OCC_NIM(1.0),Nights spent at tourist accommodation establishments - monthly data,M,Monthly,TOTAL,Total,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",AL,Albania,2024-12,,240623,,,,,
dataflow,ESTAT:TOUR_OCC_NIM(1.0),Nights spent at tourist accommodation establishments - monthly data,M,Monthly,TOTAL,Total,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",AL,Albania,2025-01,,230420,,,,,
dataflow,ESTAT:TOUR_OCC_NIM(1.0),Nights spent at tourist accommodation establishments - monthly data,M,Monthly,TOTAL,Total,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",AL,Albania,2025-02,,226431,,,,,
dataflow,ESTAT:TOUR_OCC_NIM(1.0),Nights spent at tourist accommodation establishments - monthly data,M,Monthly,TOTAL,Total,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",AL,Albania,2025-03,,294082,,,,,
dataflow,ESTAT:TOUR_OCC_NIM(1.0),Nights spent at tourist accommodation establishments - monthly data,M,Monthly,TOTAL,Total,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",AL,Albania,2025-04,,475233,,,,,
dataflow,ESTAT:TOUR_OCC_NIM(1.0),Nights spent at tourist accommodation establishments - monthly data,M,Monthly,TOTAL,Total,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",AL,Albania,2025-05,,671231,,,,,
dataflow,ESTAT:TOUR_OCC_NIM(1.0),Nights spent at tourist accommodation establishments - monthly data,M,Monthly,TOTAL,Total,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",AL,Albania,2025-06,,1201253,,,,,
dataflow,ESTAT:TOUR_OCC_NIM(1.0),Nights spent at tourist accommodation establishments - monthly data,M,Monthly,TOTAL,Total,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",AL,Albania,2025-07,,1839778,,,,,
dataflow,ESTAT:TOUR_OCC_NIM(1.0),Nights spent at tourist accommodation establishments - monthly data,M,Monthly,TOTAL,Total,NR,Number,I551-I553,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",AL,Albania,2025-08,,2263355,,,,,
