STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_ur,Urban audit indicator,cities,Geopolitical entity (declaring),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026V,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",BE001C,Bruxelles/Brussel (greater city),2015,,103456.0,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026V,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",BE001C,Bruxelles/Brussel (greater city),2016,,106866.0,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026V,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",BE001C,Bruxelles/Brussel (greater city),2017,,107422.0,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026V,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",BE001C,Bruxelles/Brussel (greater city),2019,,111696.0,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026V,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",BE001C,Bruxelles/Brussel (greater city),2020,,115909.0,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026V,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",BE001C,Bruxelles/Brussel (greater city),2021,,122438.0,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026V,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",BE001C,Bruxelles/Brussel (greater city),2022,,126538.0,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026V,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",BE002C,Antwerpen (greater city),2015,,45354.0,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026V,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",BE002C,Antwerpen (greater city),2016,,45764.0,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026V,"Students in higher education (ISCED level 5-8 from 2014 onwards), total",BE002C,Antwerpen (greater city),2017,,52661.0,,,,,
