who_region,iso3,country_name,city,year,version,pm10_concentration,pm25_concentration,no2_concentration,pm10_tempcov,pm25_tempcov,no2_tempcov,type_of_stations,reference,web_link,population,population_source,latitude,longitude,who_ms
4_Eur,ESP,Spain,A Coruna/ESP,2013,"V4.0 (2018), V4.0 (2018), V4.0 (2018), V4.0 (2018), V4.0 (2018), V4.0 (2018), V4.0 (2018)",23.238,11.491,28.841,87,46,93,"Urban, Urban, Suburban",NA,NA,246146,"manual, manual, manual, manual",43.3679,-8.418571143,1
4_Eur,ESP,Spain,A Coruna/ESP,2014,"V6.0  (2023), V6.0  (2023), V6.0  (2023)",27.476,15.878,19.575,96,88,95,"Urban, Urban, Suburban",NA,NA,247604,NA,43.36803333,-8.418233333,1
4_Eur,ESP,Spain,A Coruna/ESP,2015,"V6.0  (2023), V6.0  (2023), V6.0  (2023), V6.0  (2023)",25.515,14.004,22.731,98,71,98,"Urban, Urban, Suburban, Suburban",NA,NA,247604,NA,43.370375,-8.4229,1
4_Eur,ESP,Spain,A Coruna/ESP,2016,"V6.0  (2023), V6.0  (2023), V6.0  (2023), V6.0  (2023)",23.057,13.16,20.204,98,98,98,"Urban, Urban, Suburban, Suburban",NA,NA,247604,NA,43.370375,-8.4229,1
4_Eur,ESP,Spain,A Coruna/ESP,2017,"V6.0  (2023), V6.0  (2023), V6.0  (2023), V6.0  (2023)",26.849,14.114,21.543,97,97,98,"Urban, Urban, Suburban, Suburban",NA,NA,247604,NA,43.370375,-8.4229,1
4_Eur,ESP,Spain,A Coruna/ESP,2018,"V6.0  (2023), V6.0  (2023), V6.0  (2023), V6.0  (2023)",27.763,14.876,20.328,98,86,99,"Urban, Urban, Suburban, Suburban",NA,NA,247604,NA,43.370375,-8.4229,1
4_Eur,ESP,Spain,A Coruna/ESP,2019,"V6.0  (2023), V6.0  (2023), V6.0  (2023), V6.0  (2023)",26.912,13.017,18.339,98,95,98,"Urban, Urban, Suburban, Suburban",NA,NA,247604,NA,43.370375,-8.4229,1
4_Eur,ESP,Spain,A Coruna/ESP,2020,"V6.0  (2023), V6.0  (2023), V6.0  (2023)",24.9,12.926,13.749,99,98,99,"Urban, Suburban, Suburban",NA,NA,247604,NA,43.37146667,-8.423666667,1
4_Eur,ESP,Spain,A Coruna/ESP,2021,"V6.0  (2023), V6.0  (2023), V6.0  (2023)",23.228,11.617,15.67,99,98,99,"Urban, Suburban, Suburban",NA,NA,247604,NA,43.37146667,-8.423666667,1
4_Eur,DEU,Germany,Aachen/DEU,2010,"V4.0 (2018), V4.0 (2018), V4.0 (2018), V4.0 (2018)",25.955,NA,37.283,98,NA,93,NA,NA,NA,259160,"old database, old database, old database, old database",50.763918,6.094849,1
