STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,facility,Health facility,hlthcare,Health care,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_RS_BDS1(1.0),Hospital beds by function and type of care,A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),TOTAL,Total,AT,Austria,2015,,735.29,,,,,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),Hospital beds by function and type of care,A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),TOTAL,Total,AT,Austria,2016,,731.91,,,,,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),Hospital beds by function and type of care,A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),TOTAL,Total,AT,Austria,2017,,731.53,,,,,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),Hospital beds by function and type of care,A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),TOTAL,Total,AT,Austria,2018,,725.66,,,,,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),Hospital beds by function and type of care,A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),TOTAL,Total,AT,Austria,2019,,718.90,,,,,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),Hospital beds by function and type of care,A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),TOTAL,Total,AT,Austria,2020,,705.10,,,,,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),Hospital beds by function and type of care,A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),TOTAL,Total,AT,Austria,2021,,691.47,,,,,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),Hospital beds by function and type of care,A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),TOTAL,Total,AT,Austria,2022,,671.75,,,,,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),Hospital beds by function and type of care,A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),TOTAL,Total,AT,Austria,2023,,660.40,,,,,
dataflow,ESTAT:HLTH_RS_BDS1(1.0),Hospital beds by function and type of care,A,Annual,P_HTHAB,Per hundred thousand inhabitants,HBEDT,Available beds in hospitals (HP.1),TOTAL,Total,BE,Belgium,2015,,573.99,,,,,
