geo_code,URB_CEDUC_TE1026V,URB_CLMA_EC1010V,URB_CLMA_EC1177V,URB_CPOP1_DE1001V,URB_CPOPCB_DE2009V,URB_CTOUR_CR2001V,URB_CTRAN_TT1057I,COUNTRY_HLTH_RS_BDS1_HBEDT_TOTAL,COUNTRY_ISOC_CIEGI_AC_I_IUGOV12_IND_TOTAL,COUNTRY_SDG_11_60,COUNTRY_SDG_17_60_VHCN_FX_TOTAL,COUNTRY_TRNG_LFSE_01_T_Y25-74,WHO_NO2,WHO_PM10,WHO_PM25
BE001C,113475.0,73210.33,432104.25,1216595.78,560028.56,5352963.8,406.52,556.67,65.26,54.16,74.48,7.6,32.85,19.7,13.21
BE002C,51752.12,19225.78,202655.75,526470.11,161935.44,1587224.33,385.25,556.67,65.26,54.16,74.48,7.6,33.48,22.94,13.38
BG001C,103063.25,19818.88,550648.75,1232743.5,44669.62,1657351.67,,815.32,26.77,29.62,79.2,1.54,23.75,30.41,14.03
CH002C,76006.77,20511.59,353105.74,679716.12,280299.62,3735062.14,427.29,452.09,83.17,52.5,85.6,25.9,29.96,15.44,10.73
CZ001C,129040.33,9435.0,676706.0,1288088.88,,,,660.43,62.5,36.62,43.76,7.33,27.52,22.56,15.78
DE001C,193197.67,131468.89,1738073.33,3621037.0,,28623731.5,290.16,786.86,58.08,68.31,62.0,6.96,31.45,21.52,14.43
DE002C,109280.56,45181.11,916955.56,1830909.78,459614.29,12635750.83,345.14,786.86,58.08,68.31,62.0,6.96,28.48,18.76,12.24
DE003C,114089.0,29322.44,780902.33,1471604.44,385760.0,14370249.17,348.02,786.86,58.08,68.31,62.0,6.96,36.69,19.19,11.81
DE004C,102329.78,28238.89,515108.11,1075393.67,233228.57,5571186.67,359.11,786.86,58.08,68.31,62.0,6.96,36.84,18.89,12.35
DE005C,70128.22,18893.0,368182.22,749604.0,248155.56,8674903.0,319.67,786.86,58.08,68.31,62.0,6.96,34.96,17.78,12.38
DE006C,43058.22,18803.67,250530.11,581686.78,132612.5,1378919.67,425.18,786.86,58.08,68.31,62.0,6.96,34.75,21.31,13.06
DE007C,54083.44,14156.89,310225.67,628571.11,187100.0,3449273.0,356.12,786.86,58.08,68.31,62.0,6.96,47.55,22.79,12.36
DE008C,39165.11,16402.44,282833.89,583830.33,48140.0,2973138.5,342.17,786.86,58.08,68.31,62.0,6.96,28.88,19.95,11.76
DE009C,39269.44,12478.44,265760.44,551632.78,58440.0,4157060.0,352.27,786.86,58.08,68.31,62.0,6.96,27.61,18.58,12.36
DE010C,52613.78,18933.22,258426.67,586914.44,146300.0,1178246.33,439.19,786.86,58.08,68.31,62.0,6.96,36.9,19.98,12.72
DE011C,58404.44,15193.56,294164.56,617492.56,154366.67,4273568.83,366.45,786.86,58.08,68.31,62.0,6.96,39.48,19.78,13.06
DE012C,35381.11,15371.78,256231.0,564347.33,137911.11,1955707.83,366.42,786.86,58.08,68.31,62.0,6.96,21.8,18.12,11.18
DE013C,49123.33,14828.89,253999.67,534861.0,147740.0,2056883.33,335.63,786.86,58.08,68.31,62.0,6.96,37.36,17.4,10.88
DE014C,25906.0,13858.11,256591.22,513756.89,151137.5,3038683.0,397.38,786.86,58.08,68.31,62.0,6.96,33.31,23.27,12.37
DE080C,27307.56,17142.56,207996.56,496130.56,145237.5,491387.0,420.1,786.86,58.08,68.31,62.0,6.96,33.01,21.4,12.68
ES001C,319567.44,322626.78,2185399.11,4989252.33,1017323.0,20893426.0,444.27,294.22,65.82,37.91,92.82,10.43,33.67,19.29,10.58
ES002C,291679.29,224700.44,1582947.0,3690358.11,801735.0,,358.46,294.22,65.82,37.91,92.82,10.43,31.04,23.78,14.41
ES003C,129961.57,114546.33,560079.33,1403925.67,219501.56,,443.41,294.22,65.82,37.91,92.82,10.43,22.84,20.45,12.46
ES004C,97218.86,86655.44,326934.44,880324.33,67795.78,,455.16,294.22,65.82,37.91,92.82,10.43,23.77,27.66,15.29
ES005C,32889.44,39228.56,282227.11,671890.33,95034.89,1750349.83,376.6,294.22,65.82,37.91,92.82,10.43,24.21,16.34,10.84
ES006C,51257.44,53860.67,218869.22,574981.11,71184.78,2626320.17,443.28,294.22,65.82,37.91,92.82,10.43,22.42,23.71,9.78
ES019C,45471.14,42740.71,314340.0,791591.0,84793.14,,404.2,294.22,65.82,37.91,92.82,10.43,25.59,18.34,9.85
FI001C,62109.22,38426.22,303851.44,645406.44,92638.33,3581339.67,271.13,329.53,88.81,42.07,69.0,23.79,18.43,15.64,6.02
FR002C,166542.38,82624.5,520580.5,1269057.25,244642.75,4832021.5,430.69,576.33,80.66,40.32,62.92,14.31,34.92,21.51,13.44
FR003C,122842.12,76101.25,363259.12,954029.62,126902.12,2227130.75,446.61,576.33,80.66,40.32,62.92,14.31,25.7,21.11,13.78
FR004C,56574.0,66344.62,337792.75,965287.88,214836.5,3079152.38,420.08,576.33,80.66,40.32,62.92,14.31,35.26,23.16,12.98
FR005C,100505.88,49268.62,313944.62,741008.88,104312.25,4018163.75,521.47,576.33,80.66,40.32,62.92,14.31,22.12,18.78,11.62
FR006C,111948.75,54566.62,318095.88,738925.62,133433.5,3132110.38,524.83,576.33,80.66,40.32,62.92,14.31,25.42,17.08,10.5
FR007C,60088.25,33380.12,204003.38,483396.62,55286.88,1956198.0,502.17,576.33,80.66,40.32,62.92,14.31,18.54,17.69,11.1
HR001C,76694.62,29014.75,341256.38,799087.88,142142.71,2002501.83,338.15,579.83,43.18,27.69,54.26,3.14,33.46,31.54,18.89
HU001C,142522.89,18546.12,853026.0,1735961.78,180470.78,8605478.83,384.63,689.7,66.47,34.26,65.48,5.61,30.74,28.42,16.96
IE001C,,,,1315500.0,,,,286.46,76.39,39.4,64.7,9.74,21.74,13.16,8.25
IT001C,209224.71,152787.6,1094216.4,2820680.44,388292.0,24320614.11,626.44,316.13,31.64,49.62,44.24,7.5,37.19,26.03,14.34
IT002C,209981.0,137160.4,1546286.6,3811073.67,563155.0,12231701.5,565.46,316.13,31.64,49.62,44.24,7.5,43.14,32.88,23.73
IT003C,118795.0,211601.8,819700.4,2955776.22,120861.0,3755379.83,589.32,316.13,31.64,49.62,44.24,7.5,32.49,34.0,16.95
IT004C,101186.0,43840.0,340638.4,869968.44,147956.0,3202224.22,634.75,316.13,31.64,49.62,44.24,7.5,45.1,34.2,23.94
IT005C,42883.14,53606.2,181925.0,655670.22,29023.0,1354281.22,597.59,316.13,31.64,49.62,44.24,7.5,33.77,26.86,11.31
IT006C,30993.14,21738.0,220953.8,574066.67,76003.0,1749029.33,469.61,316.13,31.64,49.62,44.24,7.5,38.04,20.77,13.3
LT001C,56941.22,12436.11,299457.78,555465.33,60746.0,1883395.5,378.07,627.94,59.67,46.54,72.48,6.49,20.47,24.52,12.29
LV001C,65810.67,22775.0,291144.44,625689.44,113030.0,2641872.4,341.75,541.22,76.86,34.94,62.26,6.68,23.92,27.22,14.46
NL001C,68090.0,21980.43,512037.6,1009462.5,329151.0,,266.17,298.33,86.7,55.94,93.02,18.73,31.43,20.12,12.25
NL017C,50474.6,18151.57,351848.2,779073.0,235072.43,17754788.0,336.19,298.33,86.7,55.94,93.02,18.73,26.56,19.85,9.85
NL037C,58568.0,31395.43,553406.2,1240613.0,280156.14,,376.83,298.33,86.7,55.94,93.02,18.73,30.58,20.12,11.76
NO001C,65161.0,,363308.0,699827.0,193150.0,,,347.68,91.74,40.83,79.18,17.91,31.97,17.27,8.1
PL001C,185682.0,22268.0,,1811615.0,,5357280.25,758.47,642.6,44.72,35.22,69.34,4.56,33.16,31.06,21.28
PL002C,48102.5,19863.2,,678702.2,,986238.5,600.61,642.6,44.72,35.22,69.34,4.56,24.04,34.11,23.36
PL003C,98594.5,12922.8,,784129.2,,4688397.0,651.76,642.6,44.72,35.22,69.34,4.56,39.19,41.65,30.34
PL004C,84078.5,7874.6,,654001.4,,1817345.5,700.41,642.6,44.72,35.22,69.34,4.56,28.26,28.04,21.5
PL005C,75693.5,5136.8,,540546.8,,1276975.25,741.85,642.6,44.72,35.22,69.34,4.56,21.75,28.34,21.01
PT001C,140932.44,78397.0,778821.0,1876025.89,325001.0,12987955.17,,342.55,47.03,29.53,89.46,9.44,24.3,21.83,11.76
PT002C,70660.33,50546.0,397252.0,972765.67,73768.0,4404520.4,,342.55,47.03,29.53,89.46,9.44,37.64,18.43,7.43
RO001C,172779.5,,,2116972.0,,3194280.75,,708.46,14.04,12.5,84.34,2.2,36.5,26.44,18.34
SE001C,,47649.67,833757.33,1545739.22,387113.44,11178438.5,272.4,208.82,88.16,43.57,82.04,29.7,21.34,15.97,5.26
SE002C,,19866.67,295667.0,675360.78,170291.11,4189294.5,220.86,208.82,88.16,43.57,82.04,29.7,25.34,17.77,7.06
UK002C,79128.75,42850.0,442725.0,1124030.25,262947.75,,325.74,,57.3,,42.06,13.28,19.68,12.76,7.76
UK003C,62668.75,18000.0,369125.0,779529.75,94027.75,,371.72,,57.3,,42.06,13.28,30.95,16.68,10.75
UK004C,69876.25,19600.0,273025.0,613863.75,90150.5,,285.33,,57.3,,42.06,13.28,23.41,9.07,4.94
UK005C,10952.5,15925.0,209025.0,533012.75,80835.0,,348.43,,57.3,,42.06,13.28,41.9,,
UK007C,56225.0,11450.0,249650.0,506186.25,94380.25,,327.7,,57.3,,42.06,13.28,29.48,10.16,6.08
UK008C,73116.25,18175.0,241650.0,537751.5,141702.75,,250.88,,57.3,,42.06,13.28,27.08,14.54,8.24
UK010C,59518.75,18650.0,252225.0,573848.0,71451.25,,347.07,,57.3,,42.06,13.28,28.86,16.21,10.65
