geo_code,URB_CEDUC_TE1026V,URB_CLMA_EC1010V,URB_CLMA_EC1177V,URB_CPOP1_DE1001V,URB_CPOPCB_DE2009V,URB_CTRAN_TT1057I
BE001C,119145.25,66805.28571428571,452121.6,1230954.0,577332.5714285715,400.94
BE002C,54047.6,18004.0,208335.8,533120.2857142857,171139.57142857142,388.2857142857143
BE003C,87667.6,7265.428571428572,119233.6,264848.85714285716,60383.0,410.95
BE004C,7252.75,11536.57142857143,66880.4,223880.7142857143,44505.42857142857,426.55285714285714
BE005C,46356.75,19904.714285714286,132491.4,397362.28571428574,105313.85714285714,426.0357142857143
BE006C,4829.4,1827.857142857143,51764.6,119063.85714285714,13909.42857142857,478.7471428571429
BE007C,16101.5,4351.285714285715,41718.8,113006.71428571429,19935.714285714286,466.34285714285716
BE008C,57084.4,1978.857142857143,46889.8,101642.85714285714,26838.14285714286,819.0385714285715
BE009C,17880.5,5471.857142857143,41033.0,131184.42857142858,25517.285714285714,534.8714285714285
BE010C,14539.6,1381.5714285714287,33079.6,77806.14285714286,11004.42857142857,558.7271428571429
BE011C,311.4,1844.5714285714287,26048.2,71937.28571428571,13051.0,397.30571428571426
BE012C,6747.666666666667,1929.25,38253.0,88147.25,17560.25,389.9925
BE013C,249.0,1955.75,22138.5,60275.0,19544.75,469.175
BE014C,674.5,5018.75,36132.5,105092.75,19398.0,461.71750000000003
BE015C,723.5,3803.25,22437.0,70837.75,16108.0,421.71
BG001C,99242.2,15668.6,541602.2,1233127.6,48790.8,
BG002C,35436.4,4687.2,145153.8,345015.0,9686.2,
BG003C,24661.4,4644.8,141066.6,334731.0,13894.6,
BG004C,6374.6,2858.4,84180.8,200707.0,7037.8,
BG005C,3213.6,2260.6,38624.4,94039.0,2283.2,
BG006C,6431.8,1970.4,58771.0,139502.2,3200.0,
BG007C,371.2,1126.0,14971.6,40527.0,872.8,
BG008C,5249.6,1849.8,56156.6,131415.8,3709.8,
BG009C,1264.0,2083.2,32489.6,84789.0,1537.8,
BG010C,633.2,2061.4,31927.2,82106.2,2018.8,
BG011C,6656.2,1772.4,29692.2,74423.6,2279.0,
BG012C,63.0,1870.2,28969.4,72155.8,977.6,
BG013C,764.8,1630.4,25992.2,66446.6,1180.4,
BG014C,932.8,1683.8,27159.6,69244.6,1233.4,
BG015C,0.0,1563.8,24983.8,67355.4,1635.2,
BG016C,9561.4,1794.0,26617.6,68652.6,2583.2,
BG017C,12135.2,1642.0,25719.4,67672.6,1417.8,
BG018C,932.8,1283.4,20562.6,51688.6,784.0,
CH001C,32556.475000000002,5563.9400000000005,116137.4325,229127.4,64222.2,411.1775
CH002C,77469.85,21101.065,360752.315,692736.8,289499.0,419.1775
CH003C,24625.625,22837.8725,166583.205,414042.0,217230.4,409.4825
CH004C,21571.95,9921.3325,157373.6075,344981.6,127954.0,395.645
CH005C,38064.4,12114.07,116568.0575,254830.4,122762.6,413.4475
CH006C,17630.85,4034.625,81744.57250000001,162912.0,47222.4,440.79
CH007C,14347.85,3258.955,56674.582500000004,113057.0,35632.2,400.955
CH008C,3400.875,3524.735,36962.525,88118.4,41366.0,607.7475
CH009C,15411.650000000001,2225.6975,37531.84,75997.2,26842.0,451.9325
CZ001C,,9435.0,676706.0,1292448.2,,
CZ002C,,,,379852.8,,
CZ003C,,,,285920.4,,
CZ004C,,,,171043.4,,
CZ005C,,,,92007.4,,
CZ006C,,,,100212.2,,
CZ007C,,,,103723.0,,
