dataset,location,n_years,year_min,year_max,years
urb_ctran,BE,9,2015,2023,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]"
urb_ctran,BE001C,9,2015,2023,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]"
urb_ctran,BE002C,9,2015,2023,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]"
urb_ctran,BE003C,9,2015,2023,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]"
urb_ctran,BE004C,9,2015,2023,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]"
urb_ctran,BE005C,9,2015,2023,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]"
urb_ctran,BE006C,9,2015,2023,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]"
urb_ctran,BE007C,9,2015,2023,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]"
urb_ctran,BE008C,9,2015,2023,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]"
urb_ctran,BE009C,9,2015,2023,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]"
urb_ctran,BE010C,9,2015,2023,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]"
urb_ctran,BE011C,9,2015,2023,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]"
urb_ctran,BE012C,3,2021,2023,"[2021, 2022, 2023]"
urb_ctran,BE013C,3,2021,2023,"[2021, 2022, 2023]"
urb_ctran,BE014C,3,2021,2023,"[2021, 2022, 2023]"
urb_ctran,BE015C,3,2021,2023,"[2021, 2022, 2023]"
urb_ctran,CH,2,2015,2016,"[2015, 2016]"
urb_ctran,CH001C,7,2015,2021,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]"
urb_ctran,CH002C,7,2015,2021,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]"
urb_ctran,CH003C,7,2015,2021,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]"
urb_ctran,CH004C,7,2015,2021,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]"
urb_ctran,CH005C,7,2015,2021,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]"
urb_ctran,CH006C,7,2015,2021,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]"
urb_ctran,CH007C,7,2015,2021,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]"
urb_ctran,CH008C,7,2015,2021,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]"
urb_ctran,CH009C,7,2015,2021,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]"
urb_ctran,DE,2,2015,2016,"[2015, 2016]"
urb_ctran,DE001C,7,2015,2021,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]"
urb_ctran,DE002C,7,2015,2021,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]"
urb_ctran,DE003C,7,2015,2021,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]"
urb_ctran,DE004C,7,2015,2021,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]"
urb_ctran,DE005C,7,2015,2021,"[2015, 2016, 2017, 2018, 2019, 2020, 2021]"
