freq,unit,location_code,time_period,obs_value,obs_flag,conf_status,country_code,country_name,year,indicator,indicator_desc
A,PC,AL,2020,18.1,,,AL,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,AL,2021,18.7,,,AL,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,AL,2022,18.9,,,AL,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,AL,2023,18.8,,,AL,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,AT,2015,56.9,,,AT,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,AT,2016,57.6,,,AT,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,AT,2017,57.8,,,AT,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,AT,2018,57.7,,,AT,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,AT,2019,58.2,,,AT,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,AT,2020,62.3,b,,AT,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,AT,2021,62.5,,,AT,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,AT,2022,62.6,,,AT,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,AT,2023,62.8,,,AT,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,BA,2015,0.0,,,BA,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,BA,2016,0.0,,,BA,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,BA,2017,0.0,,,BA,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,BA,2023,1.0,e,,BA,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,BE,2015,53.5,,,BE,,2015,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,BE,2016,53.5,,,BE,,2016,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,BE,2017,53.9,,,BE,,2017,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,BE,2018,54.4,,,BE,,2018,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,BE,2019,54.7,,,BE,,2019,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,BE,2020,51.4,,,BE,,2020,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,BE,2021,55.5,,,BE,,2021,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,BE,2022,54.7,,,BE,,2022,recycling_rate_pct,Recycling rate of municipal waste (%)
A,PC,BE,2023,55.8,,,BE,,2023,recycling_rate_pct,Recycling rate of municipal waste (%)
