freq,unit,inet_tec,Internet technologies,terrtypo,Territorial typology,location_code,time_period,obs_value,obs_flag,conf_status,country_code,country_name,year,indicator,indicator_desc
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,AT,2019,13.8,,,AT,,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,AT,2020,39.3,,,AT,,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,AT,2021,45.4,,,AT,,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,AT,2022,54.8,,,AT,,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,AT,2023,67.6,,,AT,,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,BE,2019,66.5,,,BE,,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,BE,2020,67.5,,,BE,,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,BE,2021,68.9,,,BE,,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,BE,2022,78.3,,,BE,,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,BE,2023,91.2,,,BE,,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,BG,2019,65.2,,,BG,,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,BG,2020,75.2,,,BG,,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,BG,2021,81.4,,,BG,,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,BG,2022,85.6,,,BG,,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,BG,2023,88.6,,,BG,,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,CH,2019,79.4,,,CH,,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,CH,2020,85.9,,,CH,,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,CH,2021,86.6,,,CH,,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,CH,2022,86.8,,,CH,,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,CH,2023,89.3,,,CH,,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,CY,2019,10.1,,,CY,,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,CY,2020,26.2,,,CY,,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,CY,2021,41.4,,,CY,,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,CY,2022,60.0,,,CY,,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,CY,2023,77.1,,,CY,,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,CZ,2019,29.3,,,CZ,,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,CZ,2020,33.3,,,CZ,,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,CZ,2021,52.5,,,CZ,,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,CZ,2022,53.2,,,CZ,,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,CZ,2023,50.5,,,CZ,,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households
