freq,unit,sex,Sex,age,Age class,location_code,time_period,obs_value,obs_flag,conf_status,country_code,country_name,year,indicator,indicator_desc
A,PC,T,Total,Y25-74,From 25 to 74 years,AT,2015,12.9,,,AT,,2015,education_participation_pct,"Participation rate in education/training, 25-74 years"
A,PC,T,Total,Y25-74,From 25 to 74 years,AT,2016,13.3,,,AT,,2016,education_participation_pct,"Participation rate in education/training, 25-74 years"
A,PC,T,Total,Y25-74,From 25 to 74 years,AT,2017,14.1,,,AT,,2017,education_participation_pct,"Participation rate in education/training, 25-74 years"
A,PC,T,Total,Y25-74,From 25 to 74 years,AT,2018,13.6,,,AT,,2018,education_participation_pct,"Participation rate in education/training, 25-74 years"
A,PC,T,Total,Y25-74,From 25 to 74 years,AT,2019,13.1,,,AT,,2019,education_participation_pct,"Participation rate in education/training, 25-74 years"
A,PC,T,Total,Y25-74,From 25 to 74 years,AT,2020,10.3,,,AT,,2020,education_participation_pct,"Participation rate in education/training, 25-74 years"
A,PC,T,Total,Y25-74,From 25 to 74 years,AT,2021,12.7,b,,AT,,2021,education_participation_pct,"Participation rate in education/training, 25-74 years"
A,PC,T,Total,Y25-74,From 25 to 74 years,AT,2022,13.8,,,AT,,2022,education_participation_pct,"Participation rate in education/training, 25-74 years"
A,PC,T,Total,Y25-74,From 25 to 74 years,AT,2023,15.0,,,AT,,2023,education_participation_pct,"Participation rate in education/training, 25-74 years"
A,PC,T,Total,Y25-74,From 25 to 74 years,BA,2021,1.8,,,BA,,2021,education_participation_pct,"Participation rate in education/training, 25-74 years"
A,PC,T,Total,Y25-74,From 25 to 74 years,BA,2022,1.5,,,BA,,2022,education_participation_pct,"Participation rate in education/training, 25-74 years"
A,PC,T,Total,Y25-74,From 25 to 74 years,BA,2023,1.5,,,BA,,2023,education_participation_pct,"Participation rate in education/training, 25-74 years"
A,PC,T,Total,Y25-74,From 25 to 74 years,BE,2015,6.2,,,BE,,2015,education_participation_pct,"Participation rate in education/training, 25-74 years"
A,PC,T,Total,Y25-74,From 25 to 74 years,BE,2016,6.2,,,BE,,2016,education_participation_pct,"Participation rate in education/training, 25-74 years"
A,PC,T,Total,Y25-74,From 25 to 74 years,BE,2017,7.4,b,,BE,,2017,education_participation_pct,"Participation rate in education/training, 25-74 years"
