freq,indic_ur,location_code,time_period,obs_value,obs_flag,conf_status,city_name,country_code,country_name,year,indicator,indicator_desc
A,TE1026V,BE001C,2015,103456.0,,,BE001C,BE,,2015,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE001C,2016,106866.0,,,BE001C,BE,,2016,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE001C,2017,107422.0,,,BE001C,BE,,2017,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE001C,2019,111696.0,,,BE001C,BE,,2019,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE001C,2020,115909.0,,,BE001C,BE,,2020,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE001C,2021,122438.0,,,BE001C,BE,,2021,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE001C,2022,126538.0,,,BE001C,BE,,2022,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE002C,2015,45354.0,,,BE002C,BE,,2015,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE002C,2016,45764.0,,,BE002C,BE,,2016,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE002C,2017,52661.0,,,BE002C,BE,,2017,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE002C,2019,50076.0,,,BE002C,BE,,2019,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE002C,2020,53346.0,,,BE002C,BE,,2020,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE002C,2021,54850.0,,,BE002C,BE,,2021,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE002C,2022,55479.0,,,BE002C,BE,,2022,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE002C,2023,56487.0,,,BE002C,BE,,2023,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE003C,2015,80956.0,,,BE003C,BE,,2015,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE003C,2016,81114.0,,,BE003C,BE,,2016,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE003C,2017,85382.0,,,BE003C,BE,,2017,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE003C,2019,81627.0,,,BE003C,BE,,2019,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE003C,2020,85328.0,,,BE003C,BE,,2020,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE003C,2021,88577.0,,,BE003C,BE,,2021,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE003C,2022,90857.0,,,BE003C,BE,,2022,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE003C,2023,91949.0,,,BE003C,BE,,2023,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE004C,2015,5285.0,,,BE004C,BE,,2015,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE004C,2016,5556.0,,,BE004C,BE,,2016,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE004C,2017,6132.0,,,BE004C,BE,,2017,higher_ed_students,Students in higher education (ISCED 5-8)
A,TE1026V,BE004C,2019,6089.0,,,BE004C,BE,,2019,higher_ed_students,Students in higher education (ISCED 5-8)
