freq,indic_ur,location_code,time_period,obs_value,obs_flag,conf_status,city_name,country_code,country_name,year,indicator,indicator_desc
A,EC1177V,DE002C,2015,879800.0,,,Hamburg,DE,Germany,2015,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,DE002C,2016,898660.0,,,Hamburg,DE,Germany,2016,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,DE002C,2017,923710.0,e,,Hamburg,DE,Germany,2017,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,DE002C,2018,926040.0,e,,Hamburg,DE,Germany,2018,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,DE002C,2019,932800.0,e,,Hamburg,DE,Germany,2019,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,DE002C,2020,918590.0,e,,Hamburg,DE,Germany,2020,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,DE002C,2021,922000.0,e,,Hamburg,DE,Germany,2021,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,DE002C,2022,933000.0,e,,Hamburg,DE,Germany,2022,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,DE002C,2023,918000.0,e,,Hamburg,DE,Germany,2023,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,ES002C,2015,1460404.0,,,Barcelona,ES,Spain,2015,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,ES002C,2016,1495510.0,,,Barcelona,ES,Spain,2016,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,ES002C,2017,1557823.0,e,,Barcelona,ES,Spain,2017,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,ES002C,2018,1567203.0,e,,Barcelona,ES,Spain,2018,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,ES002C,2019,1607803.0,e,,Barcelona,ES,Spain,2019,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,ES002C,2020,1570790.0,e,,Barcelona,ES,Spain,2020,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,ES002C,2021,1608791.0,e,,Barcelona,ES,Spain,2021,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,ES002C,2022,1640609.0,e,,Barcelona,ES,Spain,2022,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,ES002C,2023,1737590.0,e,,Barcelona,ES,Spain,2023,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,FR001C,2015,4422256.0,d,,Paris,FR,France,2015,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,FR001C,2016,4426332.0,d,,Paris,FR,France,2016,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,FR001C,2017,4449336.0,d,,Paris,FR,France,2017,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,FR001C,2018,4476168.0,d,,Paris,FR,France,2018,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,FR001C,2019,4495929.0,d,,Paris,FR,France,2019,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,FR001C,2020,4514890.0,d,,Paris,FR,France,2020,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,FR001C,2021,4550618.0,d,,Paris,FR,France,2021,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,FR001C,2022,4596507.0,d,,Paris,FR,France,2022,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,HU001C,2016,848915.0,,,Budapest,HU,Hungary,2016,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,HU001C,2022,857137.0,,,Budapest,HU,Hungary,2022,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,IT002C,2018,1524556.0,,,Milan,IT,Italy,2018,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,IT002C,2019,1553158.0,,,Milan,IT,Italy,2019,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,IT002C,2020,1496672.0,e,,Milan,IT,Italy,2020,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,IT002C,2021,1571085.0,,,Milan,IT,Italy,2021,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,IT002C,2022,1585962.0,,,Milan,IT,Italy,2022,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,NL001C,2015,472000.0,b,,Amsterdam,NL,Netherlands,2015,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,NL001C,2016,486000.0,b,,Amsterdam,NL,Netherlands,2016,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,NL001C,2019,516313.0,d,,Amsterdam,NL,Netherlands,2019,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,NL001C,2020,524719.0,d,,Amsterdam,NL,Netherlands,2020,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,NL001C,2023,561156.0,,,Amsterdam,NL,Netherlands,2023,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,PT001C,2021,778821.0,,,Lisbon,PT,Portugal,2021,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,SE001C,2017,841998.0,,,Stockholm,SE,Sweden,2017,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,SE001C,2018,856097.0,,,Stockholm,SE,Sweden,2018,employed_20_64,"Persons employed, 20-64, total"
A,EC1177V,SE001C,2023,803177.0,be,,Stockholm,SE,Sweden,2023,employed_20_64,"Persons employed, 20-64, total"
