freq,indic_ur,location_code,time_period,obs_value,obs_flag,conf_status,city_name,country_code,country_name,year,indicator,indicator_desc
A,EC1010V,BE,2015,422044.0,,,BE,BE,,2015,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE,2016,389629.0,,,BE,BE,,2016,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE,2017,353706.0,e,,BE,BE,,2017,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE,2018,301048.0,e,,BE,BE,,2018,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE,2019,273651.0,,,BE,BE,,2019,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE,2020,282437.0,e,,BE,BE,,2020,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE,2021,324376.0,,,BE,BE,,2021,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE,2022,293705.0,e,,BE,BE,,2022,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE,2023,294226.0,e,,BE,BE,,2023,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE001C,2015,91103.0,,,BE001C,BE,,2015,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE001C,2016,89560.0,,,BE001C,BE,,2016,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE001C,2017,78974.0,e,,BE001C,BE,,2017,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE001C,2018,70400.0,e,,BE001C,BE,,2018,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE001C,2019,67466.0,,,BE001C,BE,,2019,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE001C,2020,65932.0,e,,BE001C,BE,,2020,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE001C,2021,67506.0,,,BE001C,BE,,2021,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE001C,2022,65481.0,e,,BE001C,BE,,2022,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE001C,2023,62471.0,e,,BE001C,BE,,2023,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE002C,2015,24178.0,,,BE002C,BE,,2015,unemployed_total,"Persons unemployed, total"
A,EC1010V,BE002C,2016,22596.0,,,BE002C,BE,,2016,unemployed_total,"Persons unemployed, total"
