freq,indic_ur,location_code,time_period,obs_value,obs_flag,conf_status,city_name,country_code,country_name,year,indicator,indicator_desc
A,DE2009V,DE002C,2015,406700.0,,,Hamburg,DE,Germany,2015,foreign_population,Population by citizenship - foreigners
A,DE2009V,DE002C,2016,427100.0,,,Hamburg,DE,Germany,2016,foreign_population,Population by citizenship - foreigners
A,DE2009V,DE002C,2017,450700.0,e,,Hamburg,DE,Germany,2017,foreign_population,Population by citizenship - foreigners
A,DE2009V,DE002C,2018,462500.0,e,,Hamburg,DE,Germany,2018,foreign_population,Population by citizenship - foreigners
A,DE2009V,DE002C,2019,469700.0,e,,Hamburg,DE,Germany,2019,foreign_population,Population by citizenship - foreigners
A,DE2009V,DE002C,2020,473200.0,e,,Hamburg,DE,Germany,2020,foreign_population,Population by citizenship - foreigners
A,DE2009V,DE002C,2023,527400.0,e,,Hamburg,DE,Germany,2023,foreign_population,Population by citizenship - foreigners
A,DE2009V,ES002C,2015,671139.0,,,Barcelona,ES,Spain,2015,foreign_population,Population by citizenship - foreigners
A,DE2009V,ES002C,2016,686262.0,,,Barcelona,ES,Spain,2016,foreign_population,Population by citizenship - foreigners
A,DE2009V,ES002C,2017,717847.0,,,Barcelona,ES,Spain,2017,foreign_population,Population by citizenship - foreigners
A,DE2009V,ES002C,2018,745845.0,,,Barcelona,ES,Spain,2018,foreign_population,Population by citizenship - foreigners
A,DE2009V,ES002C,2019,797224.0,,,Barcelona,ES,Spain,2019,foreign_population,Population by citizenship - foreigners
A,DE2009V,ES002C,2020,867051.0,,,Barcelona,ES,Spain,2020,foreign_population,Population by citizenship - foreigners
A,DE2009V,ES002C,2021,867201.0,,,Barcelona,ES,Spain,2021,foreign_population,Population by citizenship - foreigners
A,DE2009V,ES002C,2022,897122.0,,,Barcelona,ES,Spain,2022,foreign_population,Population by citizenship - foreigners
A,DE2009V,ES002C,2023,965924.0,,,Barcelona,ES,Spain,2023,foreign_population,Population by citizenship - foreigners
A,DE2009V,FR001C,2015,2449048.0,,,Paris,FR,France,2015,foreign_population,Population by citizenship - foreigners
A,DE2009V,FR001C,2016,2478450.0,,,Paris,FR,France,2016,foreign_population,Population by citizenship - foreigners
A,DE2009V,FR001C,2017,2519283.0,,,Paris,FR,France,2017,foreign_population,Population by citizenship - foreigners
A,DE2009V,FR001C,2018,2547792.0,,,Paris,FR,France,2018,foreign_population,Population by citizenship - foreigners
A,DE2009V,FR001C,2019,2556203.0,,,Paris,FR,France,2019,foreign_population,Population by citizenship - foreigners
A,DE2009V,FR001C,2020,2587759.0,,,Paris,FR,France,2020,foreign_population,Population by citizenship - foreigners
A,DE2009V,FR001C,2021,2628999.0,,,Paris,FR,France,2021,foreign_population,Population by citizenship - foreigners
A,DE2009V,FR001C,2022,2694007.0,,,Paris,FR,France,2022,foreign_population,Population by citizenship - foreigners
A,DE2009V,HU001C,2015,157355.0,,,Budapest,HU,Hungary,2015,foreign_population,Population by citizenship - foreigners
A,DE2009V,HU001C,2016,165027.0,,,Budapest,HU,Hungary,2016,foreign_population,Population by citizenship - foreigners
A,DE2009V,HU001C,2017,168048.0,,,Budapest,HU,Hungary,2017,foreign_population,Population by citizenship - foreigners
A,DE2009V,HU001C,2018,174015.0,,,Budapest,HU,Hungary,2018,foreign_population,Population by citizenship - foreigners
A,DE2009V,HU001C,2019,183592.0,,,Budapest,HU,Hungary,2019,foreign_population,Population by citizenship - foreigners
A,DE2009V,HU001C,2020,191522.0,,,Budapest,HU,Hungary,2020,foreign_population,Population by citizenship - foreigners
