freq,indic_ur,location_code,time_period,obs_value,obs_flag,conf_status,city_name,country_code,country_name,year,indicator,indicator_desc
A,CR2001V,DE002C,2015,12506840.0,,,Hamburg,DE,Germany,2015,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,DE002C,2016,13193476.0,,,Hamburg,DE,Germany,2016,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,DE002C,2017,13682506.0,,,Hamburg,DE,Germany,2017,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,DE002C,2018,14367399.0,,,Hamburg,DE,Germany,2018,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,DE002C,2019,15267308.0,,,Hamburg,DE,Germany,2019,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,DE002C,2020,6796976.0,,,Hamburg,DE,Germany,2020,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,FR001C,2015,67681325.0,e,,Paris,FR,France,2015,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,FR001C,2016,62651912.0,e,,Paris,FR,France,2016,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,FR001C,2017,70925542.0,e,,Paris,FR,France,2017,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,FR001C,2018,76249739.0,e,,Paris,FR,France,2018,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,FR001C,2019,75183033.0,e,,Paris,FR,France,2019,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,FR001C,2020,8177679.0,e,,Paris,FR,France,2020,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,FR001C,2021,30027189.0,e,,Paris,FR,France,2021,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,FR001C,2022,71423725.0,e,,Paris,FR,France,2022,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,HU001C,2015,8767826.0,,,Budapest,HU,Hungary,2015,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,HU001C,2016,9323228.0,,,Budapest,HU,Hungary,2016,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,HU001C,2017,10071847.0,,,Budapest,HU,Hungary,2017,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,HU001C,2018,10347717.0,,,Budapest,HU,Hungary,2018,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,HU001C,2019,10703950.0,,,Budapest,HU,Hungary,2019,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,HU001C,2020,2418305.0,,,Budapest,HU,Hungary,2020,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,IT002C,2018,15679497.0,b,,Milan,IT,Italy,2018,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,IT002C,2019,16285687.0,d,,Milan,IT,Italy,2019,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,IT002C,2020,4689801.0,d,,Milan,IT,Italy,2020,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,IT002C,2021,6801302.0,,,Milan,IT,Italy,2021,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,IT002C,2022,13581853.0,,,Milan,IT,Italy,2022,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,IT002C,2023,16352069.0,,,Milan,IT,Italy,2023,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,PT001C,2015,12259033.0,,,Lisbon,PT,Portugal,2015,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,PT001C,2016,13452473.0,,,Lisbon,PT,Portugal,2016,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,PT001C,2017,15167589.0,,,Lisbon,PT,Portugal,2017,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,PT001C,2018,15842859.0,,,Lisbon,PT,Portugal,2018,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,PT001C,2019,16780035.0,,,Lisbon,PT,Portugal,2019,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,PT001C,2020,4425742.0,,,Lisbon,PT,Portugal,2020,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,SE001C,2017,10914628.0,,,Stockholm,SE,Sweden,2017,tourist_nights,Total nights spent in tourist accommodation
A,CR2001V,SE001C,2018,11442249.0,,,Stockholm,SE,Sweden,2018,tourist_nights,Total nights spent in tourist accommodation
