freq,indic_ur,location_code,time_period,obs_value,obs_flag,conf_status,city_name,country_code,country_name,year,indicator,indicator_desc
A,TT1057I,BE,2015,499.5,,,BE,BE,,2015,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE,2016,505.17,,,BE,BE,,2016,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE,2017,509.65,,,BE,BE,,2017,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE,2018,513.55,,,BE,BE,,2018,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE,2019,515.37,,,BE,BE,,2019,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE,2020,511.05,,,BE,BE,,2020,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE,2021,513.03,,,BE,BE,,2021,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE,2022,511.94,,,BE,BE,,2022,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE,2023,513.57,,,BE,BE,,2023,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE001C,2015,430.01,,,BE001C,BE,,2015,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE001C,2016,405.35,,,BE001C,BE,,2016,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE001C,2017,411.25,,,BE001C,BE,,2017,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE001C,2018,408.37,,,BE001C,BE,,2018,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE001C,2019,402.29,,,BE001C,BE,,2019,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE001C,2020,402.54,,,BE001C,BE,,2020,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE001C,2021,402.82,,,BE001C,BE,,2021,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE001C,2022,397.77,,,BE001C,BE,,2022,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE001C,2023,398.24,,,BE001C,BE,,2023,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE002C,2015,378.9,,,BE002C,BE,,2015,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE002C,2016,383.25,,,BE002C,BE,,2016,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE002C,2017,388.51,,,BE002C,BE,,2017,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE002C,2018,390.84,,,BE002C,BE,,2018,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE002C,2019,387.53,,,BE002C,BE,,2019,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE002C,2020,380.58,,,BE002C,BE,,2020,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE002C,2021,384.45,,,BE002C,BE,,2021,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE002C,2022,384.24,,,BE002C,BE,,2022,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE002C,2023,388.93,,,BE002C,BE,,2023,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE003C,2015,415.26,,,BE003C,BE,,2015,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE003C,2016,415.04,,,BE003C,BE,,2016,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE003C,2017,413.73,,,BE003C,BE,,2017,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE003C,2018,416.78,,,BE003C,BE,,2018,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE003C,2019,417.72,,,BE003C,BE,,2019,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE003C,2020,412.31,,,BE003C,BE,,2020,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE003C,2021,414.38,,,BE003C,BE,,2021,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE003C,2022,410.14,,,BE003C,BE,,2022,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE003C,2023,404.92,,,BE003C,BE,,2023,cars_per_1000,Number of registered cars per 1000 population
A,TT1057I,BE004C,2015,412.26,,,BE004C,BE,,2015,cars_per_1000,Number of registered cars per 1000 population
