location_code,time_period,iso3,country_name,pm10_concentration,pm25_concentration,no2_concentration,population,latitude,longitude,city_name,country_code,year
Barcelona/ESP,2015,ESP,Spain,26.937,16.514,36.992,5585556.0,41.429695,2.1325275,Barcelona,ES,2015
Barcelona/ESP,2016,ESP,Spain,23.603,14.419,34.09,5585556.0,41.42598684,2.131255263,Barcelona,ES,2016
Barcelona/ESP,2017,ESP,Spain,24.688,15.023,35.886,5585556.0,41.42683421,2.130871053,Barcelona,ES,2017
Barcelona/ESP,2018,ESP,Spain,22.975,14.567,32.231,5585556.0,41.42776053,2.132960526,Barcelona,ES,2018
Barcelona/ESP,2019,ESP,Spain,24.294,15.362,31.414,5585556.0,41.42543429,2.133062857,Barcelona,ES,2019
Barcelona/ESP,2020,ESP,Spain,21.848,12.808,23.4,5585556.0,41.42100323,2.143887097,Barcelona,ES,2020
Barcelona/ESP,2021,ESP,Spain,22.101,12.184,23.3,5585556.0,41.42101333,2.142996667,Barcelona,ES,2021
Budapest/HUN,2015,HUN,Hungary,30.406,15.596,32.618,1768073.0,47.50956667,19.07931667,Budapest,HU,2015
Budapest/HUN,2016,HUN,Hungary,27.812,12.426,30.408,1768073.0,47.50956667,19.07931667,Budapest,HU,2016
Budapest/HUN,2017,HUN,Hungary,28.179,27.951,32.638,1768073.0,47.50956667,19.07931667,Budapest,HU,2017
Budapest/HUN,2018,HUN,Hungary,31.953,16.915,30.926,1768073.0,47.50956667,19.07931667,Budapest,HU,2018
Budapest/HUN,2019,HUN,Hungary,27.213,14.384,30.636,1768073.0,47.50956667,19.07931667,Budapest,HU,2019
Budapest/HUN,2020,HUN,Hungary,24.975,14.458,27.224,1768073.0,47.50956667,19.07931667,Budapest,HU,2020
Hamburg/DEU,2015,DEU,Germany,20.631,13.873,30.457,1789954.0,53.54911667,9.972316667,Hamburg,DE,2015
Hamburg/DEU,2016,DEU,Germany,19.612,14.01,31.74,1789954.0,53.55272941,9.965770588,Hamburg,DE,2016
Hamburg/DEU,2017,DEU,Germany,18.482,13.697,29.868,1789954.0,53.55361875,9.95720625,Hamburg,DE,2017
Hamburg/DEU,2018,DEU,Germany,20.999,12.483,29.634,1789954.0,53.55265333,9.968606667,Hamburg,DE,2018
Hamburg/DEU,2019,DEU,Germany,18.954,11.485,27.214,1789954.0,53.55265333,9.968606667,Hamburg,DE,2019
Hamburg/DEU,2020,DEU,Germany,16.326,9.734,25.654,1789954.0,53.54861667,9.987858333,Hamburg,DE,2020
Hamburg/DEU,2021,DEU,Germany,16.281,10.377,24.768,1789954.0,53.54861667,9.987858333,Hamburg,DE,2021
Kobenhavn/DNK,2015,DNK,Denmark,23.626,12.0,27.381,559440.0,55.676225,12.537275,Copenhagen,DK,2015
Kobenhavn/DNK,2016,DNK,Denmark,22.811,11.968,26.853,559440.0,55.676225,12.537275,Copenhagen,DK,2016
Kobenhavn/DNK,2017,DNK,Denmark,20.479,11.063,23.824,559440.0,55.676225,12.537275,Copenhagen,DK,2017
Kobenhavn/DNK,2018,DNK,Denmark,24.783,13.61,23.43,559440.0,55.676225,12.537275,Copenhagen,DK,2018
Kobenhavn/DNK,2019,DNK,Denmark,21.124,11.374,20.085,559440.0,55.676225,12.537275,Copenhagen,DK,2019
Kobenhavn/DNK,2020,DNK,Denmark,17.716,8.315,15.792,559440.0,55.676225,12.537275,Copenhagen,DK,2020
Lisboa/PRT,2015,PRT,Portugal,24.423,13.281,26.048,2956879.0,38.7267,-9.166,Lisbon,PT,2015
Lisboa/PRT,2016,PRT,Portugal,21.779,11.934,23.096,2956879.0,38.72751765,-9.168994118,Lisbon,PT,2016
Lisboa/PRT,2017,PRT,Portugal,25.219,13.198,26.391,2956879.0,38.72680625,-9.1665875,Lisbon,PT,2017
Lisboa/PRT,2018,PRT,Portugal,22.132,12.341,26.382,2956879.0,38.72751765,-9.168994118,Lisbon,PT,2018
Lisboa/PRT,2019,PRT,Portugal,20.088,10.439,23.759,2956879.0,38.72751765,-9.168994118,Lisbon,PT,2019
Lisboa/PRT,2020,PRT,Portugal,17.338,9.389,20.102,2956879.0,38.7323625,-9.17651875,Lisbon,PT,2020
Milano/ITA,2015,ITA,Italy,37.977,28.143,51.785,3140181.0,45.51981176,9.169694118,Milan,IT,2015
Milano/ITA,2016,ITA,Italy,33.902,26.021,47.622,3140181.0,45.52135556,9.169544444,Milan,IT,2016
Milano/ITA,2017,ITA,Italy,36.676,27.532,49.363,3140181.0,45.5276875,9.1785125,Milan,IT,2017
Milano/ITA,2018,ITA,Italy,31.04,22.12,41.758,3140181.0,45.5276875,9.1785125,Milan,IT,2018
Milano/ITA,2019,ITA,Italy,29.426,19.91,40.668,3140181.0,45.5276875,9.1785125,Milan,IT,2019
Milano/ITA,2020,ITA,Italy,31.226,22.294,35.312,3140181.0,45.5276875,9.1785125,Milan,IT,2020
Milano/ITA,2021,ITA,Italy,29.927,20.081,35.463,3140181.0,45.5276875,9.1785125,Milan,IT,2021
Paris/FRA,2015,FRA,France,25.98,16.184,41.52,11017230.0,48.85857568,2.364956757,Paris,FR,2015
Paris/FRA,2016,FRA,France,25.144,15.1,41.109,11017230.0,48.85818056,2.363375,Paris,FR,2016
Paris/FRA,2017,FRA,France,24.293,13.93,41.003,11017230.0,48.85818056,2.363375,Paris,FR,2017
Paris/FRA,2018,FRA,France,24.48,14.008,38.945,11017230.0,48.85818056,2.363375,Paris,FR,2018
Paris/FRA,2019,FRA,France,22.677,12.733,35.476,11017230.0,48.86032286,2.36296,Paris,FR,2019
Paris/FRA,2020,FRA,France,20.249,11.289,27.3,11017230.0,48.85943143,2.362288571,Paris,FR,2020
Paris/FRA,2021,FRA,France,21.702,12.885,29.952,11017230.0,48.85943143,2.362288571,Paris,FR,2021
Stockholm/SWE,2015,SWE,Sweden,15.504,4.998,24.216,1632798.0,59.35639444,18.01012778,Stockholm,SE,2015
Stockholm/SWE,2016,SWE,Sweden,17.133,5.444,23.99,1632798.0,59.35419474,18.01357895,Stockholm,SE,2016
Stockholm/SWE,2017,SWE,Sweden,15.373,4.757,22.47,1632798.0,59.3523087,17.99403043,Stockholm,SE,2017
Stockholm/SWE,2018,SWE,Sweden,18.207,5.992,23.75,1632798.0,59.35183333,17.99717083,Stockholm,SE,2018
Stockholm/SWE,2019,SWE,Sweden,16.915,5.668,21.048,1632798.0,59.35109474,18.00218947,Stockholm,SE,2019
Stockholm/SWE,2020,SWE,Sweden,14.443,4.806,15.357,1632798.0,59.35109474,18.00218947,Stockholm,SE,2020
Stockholm/SWE,2021,SWE,Sweden,14.235,5.157,18.52,1632798.0,59.37837778,18.02133333,Stockholm,SE,2021
