freq,indic_ur,location_code,time_period,obs_value,obs_flag,conf_status,city_name,country_code,country_name,year,indicator,indicator_desc,is_missing,zscore,modified_zscore,is_outlier_zscore,is_outlier_mod_zscore,is_outlier_iqr,is_outlier_range,is_outlier_temporal,yoy_change_pct,iqr_lower,iqr_upper,is_any_outlier,outlier_methods
A,TT1057I,DE002C,2015,345.55,,,Hamburg,DE,Germany,2015,cars_per_1000,Number of registered cars per 1000 population,False,-0.4285333689672189,-0.34736097678916744,False,False,False,False,False,,268.65999999999997,470.1,False,
A,TT1057I,DE002C,2016,344.2,,,Hamburg,DE,Germany,2016,cars_per_1000,Number of registered cars per 1000 population,False,-0.44280601961479754,-0.39139264990328804,False,False,False,False,False,-0.3906815222109783,268.65999999999997,470.1,False,
A,TT1057I,DE002C,2017,343.5,,,Hamburg,DE,Germany,2017,cars_per_1000,Number of registered cars per 1000 population,False,-0.4502066532839122,-0.4142238878143128,False,False,False,False,False,-0.20337013364323253,268.65999999999997,470.1,False,
A,TT1057I,DE002C,2018,343.12,,,Hamburg,DE,Germany,2018,cars_per_1000,Number of registered cars per 1000 population,False,-0.45422414013286017,-0.4266179883945835,False,False,False,False,False,-0.1106259097525486,268.65999999999997,470.1,False,
A,TT1057I,DE002C,2019,343.54,,,Hamburg,DE,Germany,2019,cars_per_1000,Number of registered cars per 1000 population,False,-0.44978375993139114,-0.4129192456479679,False,False,False,False,False,0.12240615528096299,268.65999999999997,470.1,False,
A,TT1057I,DE002C,2020,345.07,,,Hamburg,DE,Germany,2020,cars_per_1000,Number of registered cars per 1000 population,False,-0.4336080891974692,-0.3630166827852995,False,False,False,False,False,0.4453629853874208,268.65999999999997,470.1,False,
A,TT1057I,DE002C,2021,351.02,,,Hamburg,DE,Germany,2021,cars_per_1000,Number of registered cars per 1000 population,False,-0.3707027030099939,-0.16895116054158624,False,False,False,False,False,1.7242878256585659,268.65999999999997,470.1,False,
A,TT1057I,ES002C,2015,382.73,b,,Barcelona,ES,Spain,2015,cars_per_1000,Number of registered cars per 1000 population,False,-0.03545399779909521,0.8653039168278537,False,False,False,False,False,,268.65999999999997,470.1,False,
A,TT1057I,ES002C,2016,386.47,,,Barcelona,ES,Spain,2016,cars_per_1000,Number of registered cars per 1000 population,False,0.004086530661603712,0.9872879593810455,False,False,False,False,False,0.9771901862932086,268.65999999999997,470.1,False,
A,TT1057I,ES002C,2017,361.14,,,Barcelona,ES,Spain,2017,cars_per_1000,Number of registered cars per 1000 population,False,-0.26371068482222054,0.16112330754352017,False,False,False,False,False,-6.554195668486573,268.65999999999997,470.1,False,
A,TT1057I,ES002C,2018,360.68,,,Barcelona,ES,Spain,2018,cars_per_1000,Number of registered cars per 1000 population,False,-0.26857395837621006,0.14611992263056148,False,False,False,False,False,-0.12737442543057087,268.65999999999997,470.1,False,
A,TT1057I,ES002C,2019,356.87,,,Barcelona,ES,Spain,2019,cars_per_1000,Number of registered cars per 1000 population,False,-0.30885455020382035,0.021852756286267434,False,False,False,False,False,-1.0563380281690127,268.65999999999997,470.1,False,
A,TT1057I,ES002C,2020,349.74,,,Barcelona,ES,Spain,2020,cars_per_1000,Number of registered cars per 1000 population,False,-0.38423529029066056,-0.21069970986460276,False,False,False,False,False,-1.997926415781659,268.65999999999997,470.1,False,
A,TT1057I,ES002C,2021,348.38,,,Barcelona,ES,Spain,2021,cars_per_1000,Number of registered cars per 1000 population,False,-0.3986136642763694,-0.2550575435203092,False,False,False,False,False,-0.38886029622005047,268.65999999999997,470.1,False,
A,TT1057I,ES002C,2022,344.65,,,Barcelona,ES,Spain,2022,cars_per_1000,Number of registered cars per 1000 population,False,-0.4380484693989382,-0.37671542553191517,False,False,False,False,False,-1.0706699580917411,268.65999999999997,470.1,False,
A,TT1057I,ES002C,2023,335.52,,,Barcelona,ES,Spain,2023,cars_per_1000,Number of registered cars per 1000 population,False,-0.5345738771118206,-0.6745,False,False,False,False,False,-2.649064268098067,268.65999999999997,470.1,False,
A,TT1057I,FR001C,2015,356.75,,,Paris,FR,France,2015,cars_per_1000,Number of registered cars per 1000 population,False,-0.31012323026138294,0.017938829787234406,False,False,False,False,False,,268.65999999999997,470.1,False,
A,TT1057I,FR001C,2016,356.51,,,Paris,FR,France,2016,cars_per_1000,Number of registered cars per 1000 population,False,-0.3126605903765081,0.01011097678916835,False,False,False,False,False,-0.0672740014015405,268.65999999999997,470.1,False,
A,TT1057I,FR001C,2017,355.69,,,Paris,FR,France,2017,cars_per_1000,Number of registered cars per 1000 population,False,-0.3213299041031853,-0.016634187620889446,False,False,False,False,False,-0.23000757342009903,268.65999999999997,470.1,False,
A,TT1057I,FR001C,2018,355.24,,,Paris,FR,France,2018,cars_per_1000,Number of registered cars per 1000 population,False,-0.3260874543190447,-0.03131141199226238,False,False,False,False,False,-0.12651466164356195,268.65999999999997,470.1,False,
A,TT1057I,FR001C,2019,356.2,,,Paris,FR,France,2019,cars_per_1000,Number of registered cars per 1000 population,False,-0.31593801385854464,0.0,False,False,False,False,False,0.27023983785610106,268.65999999999997,470.1,False,
A,TT1057I,FR001C,2020,356.89,,,Paris,FR,France,2020,cars_per_1000,Number of registered cars per 1000 population,False,-0.30864310352756014,0.022505077369438988,False,False,False,False,False,0.1937113980909677,268.65999999999997,470.1,False,
A,TT1057I,FR001C,2021,356.01,,,Paris,FR,France,2021,cars_per_1000,Number of registered cars per 1000 population,False,-0.31794675728301863,-0.00619705029013532,False,False,False,False,False,-0.24657457479895228,268.65999999999997,470.1,False,
A,TT1057I,FR001C,2022,356.17,,,Paris,FR,France,2022,cars_per_1000,Number of registered cars per 1000 population,False,-0.316255183872935,-0.0009784816247573303,False,False,False,False,False,0.04494255779332601,268.65999999999997,470.1,False,
A,TT1057I,HU001C,2015,339.86,,,Budapest,HU,Hungary,2015,cars_per_1000,Number of registered cars per 1000 population,False,-0.48868994836330876,-0.5329463249516431,False,False,False,False,False,,268.65999999999997,470.1,False,
A,TT1057I,HU001C,2016,347.81,,,Budapest,HU,Hungary,2016,cars_per_1000,Number of registered cars per 1000 population,False,-0.4046398945497913,-0.2736486943907151,False,False,False,False,False,2.33919849349733,268.65999999999997,470.1,False,
A,TT1057I,HU001C,2017,361.47,,,Budapest,HU,Hungary,2017,cars_per_1000,Number of registered cars per 1000 population,False,-0.2602218146639232,0.17188660541586193,False,False,False,False,False,3.9274316437135193,268.65999999999997,470.1,False,
A,TT1057I,HU001C,2018,376.92,,,Budapest,HU,Hungary,2018,cars_per_1000,Number of registered cars per 1000 population,False,-0.09687925725274768,0.675804642166345,False,False,False,False,False,4.27421362768694,268.65999999999997,470.1,False,
A,TT1057I,HU001C,2019,390.46,,,Budapest,HU,Hungary,2019,cars_per_1000,Number of registered cars per 1000 population,False,0.046270142575557296,1.117426015473887,False,False,False,False,False,3.5922742226466964,268.65999999999997,470.1,False,
A,TT1057I,HU001C,2020,394.56,,,Budapest,HU,Hungary,2020,cars_per_1000,Number of registered cars per 1000 population,False,0.08961671120894395,1.251151837524178,False,False,False,False,False,1.0500435383906215,268.65999999999997,470.1,False,
A,TT1057I,HU001C,2021,407.73,,,Budapest,HU,Hungary,2021,cars_per_1000,Number of registered cars per 1000 population,False,0.2288543475264317,1.6807052707930372,False,False,False,False,False,3.3378953771289632,268.65999999999997,470.1,False,
A,TT1057I,HU001C,2022,416.41,,,Budapest,HU,Hungary,2022,cars_per_1000,Number of registered cars per 1000 population,False,0.3206222050234547,1.963812620889749,False,False,False,False,False,2.128859784661419,268.65999999999997,470.1,False,
A,TT1057I,HU001C,2023,426.42,,,Budapest,HU,Hungary,2023,cars_per_1000,Number of registered cars per 1000 population,False,0.42645126649179554,2.290299323017408,False,False,False,False,False,2.4038807905669923,268.65999999999997,470.1,False,
A,TT1057I,IT002C,2015,564.83,,,Milan,IT,Italy,2015,cars_per_1000,Number of registered cars per 1000 population,False,1.889767989552043,6.80468737911025,False,True,True,False,False,,268.65999999999997,470.1,True,"mod_zscore,iqr"
A,TT1057I,IT002C,2016,568.71,,,Milan,IT,Italy,2016,cars_per_1000,Number of registered cars per 1000 population,False,1.9307886447465645,6.931237669245648,False,True,True,False,False,0.6869323513269521,268.65999999999997,470.1,True,"mod_zscore,iqr"
A,TT1057I,IT002C,2017,574.13,,,Milan,IT,Italy,2017,cars_per_1000,Number of registered cars per 1000 population,False,1.9880906940131384,7.108016682785298,False,True,True,False,False,0.953034059538238,268.65999999999997,470.1,True,"mod_zscore,iqr"
A,TT1057I,IT002C,2018,500.1,b,,Milan,IT,Italy,2018,cars_per_1000,Number of registered cars per 1000 population,False,1.2054208218351885,4.6934501934235975,False,True,True,False,False,-12.894292233466286,268.65999999999997,470.1,True,"mod_zscore,iqr"
A,TT1057I,IT002C,2019,573.34,b,,Milan,IT,Italy,2019,cars_per_1000,Number of registered cars per 1000 population,False,1.9797385503008522,7.082249999999998,False,True,True,False,False,14.645070985802832,268.65999999999997,470.1,True,"mod_zscore,iqr"
A,TT1057I,IT002C,2020,570.63,,,Milan,IT,Italy,2020,cars_per_1000,Number of registered cars per 1000 population,False,1.9510875256675646,6.993860493230172,False,True,True,False,False,-0.47266892245440006,268.65999999999997,470.1,True,"mod_zscore,iqr"
A,TT1057I,IT002C,2021,571.32,,,Milan,IT,Italy,2021,cars_per_1000,Number of registered cars per 1000 population,False,1.9583824359985498,7.016365570599612,False,True,True,False,False,0.12091898428054915,268.65999999999997,470.1,True,"mod_zscore,iqr"
A,TT1057I,IT002C,2022,579.49,,,Milan,IT,Italy,2022,cars_per_1000,Number of registered cars per 1000 population,False,2.0447584032509316,7.282838733075433,False,True,True,False,False,1.430021704123785,268.65999999999997,470.1,True,"mod_zscore,iqr"
A,TT1057I,IT002C,2023,586.61,,,Milan,IT,Italy,2023,cars_per_1000,Number of registered cars per 1000 population,False,2.1200334199996416,7.5150650386847175,False,True,True,False,False,1.2286665861360957,268.65999999999997,470.1,True,"mod_zscore,iqr"
A,TT1057I,NL001C,2019,258.11,,,Amsterdam,NL,Netherlands,2019,cars_per_1000,Number of registered cars per 1000 population,False,-1.3529782375777817,-3.1993087524177932,False,True,True,False,False,,268.65999999999997,470.1,True,"mod_zscore,iqr"
A,TT1057I,NL001C,2020,255.07,,,Amsterdam,NL,Netherlands,2020,cars_per_1000,Number of registered cars per 1000 population,False,-1.385118132369366,-3.2984615570599596,False,True,True,False,False,-1.17779241408702,268.65999999999997,470.1,True,"mod_zscore,iqr"
A,TT1057I,NL001C,2021,259.94,,,Amsterdam,NL,Netherlands,2021,cars_per_1000,Number of registered cars per 1000 population,False,-1.3336308666999532,-3.139621373307542,False,True,True,False,False,1.9092798055435845,268.65999999999997,470.1,True,"mod_zscore,iqr"
A,TT1057I,NL001C,2022,257.24,,,Amsterdam,NL,Netherlands,2022,cars_per_1000,Number of registered cars per 1000 population,False,-1.36217616799511,-3.2276847195357816,False,True,True,False,False,-1.038701238747397,268.65999999999997,470.1,True,"mod_zscore,iqr"
A,TT1057I,NL001C,2023,300.5,,,Amsterdam,NL,Netherlands,2023,cars_per_1000,Number of registered cars per 1000 population,False,-0.9048170072438184,-1.8167142166344283,False,False,False,False,True,16.816980251904834,268.65999999999997,470.1,True,temporal
A,TT1057I,SE001C,2017,275.0,,,Stockholm,SE,Sweden,2017,cars_per_1000,Number of registered cars per 1000 population,False,-1.1744115194758558,-2.6484235976789154,False,True,False,False,False,,268.65999999999997,470.1,True,mod_zscore
A,TT1057I,SE001C,2018,269.79,,,Stockholm,SE,Sweden,2018,cars_per_1000,Number of registered cars per 1000 population,False,-1.2294933786416955,-2.818353239845259,False,True,False,False,False,-1.8945454545454488,268.65999999999997,470.1,True,mod_zscore
