freq,unit,inet_tec,Internet technologies,terrtypo,Territorial typology,location_code,time_period,obs_value,obs_flag,conf_status,country_code,country_name,year,indicator,indicator_desc,is_missing,zscore,modified_zscore,is_outlier_zscore,is_outlier_mod_zscore,is_outlier_iqr,is_outlier_range,is_outlier_temporal,yoy_change_pct,iqr_lower,iqr_upper,is_any_outlier,outlier_methods
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,DE,2019,34.4,,,DE,Germany,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,-2.0941923850396282,-3.004023148148149,False,True,False,False,False,,18.999999999999993,137.4,True,mod_zscore
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,DE,2020,55.9,,,DE,Germany,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,-1.0205178937430144,-1.661268518518519,False,False,False,False,True,62.5,18.999999999999993,137.4,True,temporal
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,DE,2021,74.9,,,DE,Germany,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,-0.07168927352740166,-0.47464814814814793,False,False,False,False,True,33.9892665474061,18.999999999999993,137.4,True,temporal
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,DE,2022,70.1,,,DE,Germany,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,-0.31139334600292534,-0.7744259259259264,False,False,False,False,False,-6.408544726301746,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,DE,2023,74.7,,,DE,Germany,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,-0.08167694321388194,-0.48713888888888884,False,False,False,False,False,6.562054208273915,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,DK,2019,93.0,,,DK,Denmark,2019,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,0.8321948330990497,0.655763888888889,False,False,False,False,False,,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,DK,2020,93.8,,,DK,Denmark,2020,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,0.8721455118449701,0.7057268518518518,False,False,False,False,False,0.8602150537634357,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,DK,2021,94.9,,,DK,Denmark,2021,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,0.9270776951206112,0.7744259259259264,False,False,False,False,False,1.1727078891258014,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,DK,2022,96.3,,,DK,Denmark,2022,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,0.9969913829259718,0.8618611111111112,False,False,False,False,False,1.4752370916754298,18.999999999999993,137.4,False,
A,PC_HH,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,DK,2023,97.2,,,DK,Denmark,2023,internet_vhcn_pct,High-speed internet coverage (VHCN) % households,False,1.0419358965151326,0.9180694444444449,False,False,False,False,False,0.9345794392523477,18.999999999999993,137.4,False,
