freq,unit,location_code,time_period,obs_value,obs_flag,conf_status,country_code,country_name,year,indicator,indicator_desc,is_missing,zscore,modified_zscore,is_outlier_zscore,is_outlier_mod_zscore,is_outlier_iqr,is_outlier_range,is_outlier_temporal,yoy_change_pct,iqr_lower,iqr_upper,is_any_outlier,outlier_methods
A,PC,DE,2015,66.7,,,DE,Germany,2015,recycling_rate_pct,Recycling rate of municipal waste (%),False,1.8544591078819348,2.014506666666667,False,False,False,False,False,,13.000000000000004,74.6,False,
A,PC,DE,2016,67.1,,,DE,Germany,2016,recycling_rate_pct,Recycling rate of municipal waste (%),False,1.8891519164132433,2.0504799999999994,False,False,False,False,False,0.599700149925031,13.000000000000004,74.6,False,
A,PC,DE,2017,67.2,,,DE,Germany,2017,recycling_rate_pct,Recycling rate of municipal waste (%),False,1.8978251185460715,2.059473333333334,False,False,False,False,False,0.14903129657228842,13.000000000000004,74.6,False,
A,PC,DE,2018,67.1,,,DE,Germany,2018,recycling_rate_pct,Recycling rate of municipal waste (%),False,1.8891519164132433,2.0504799999999994,False,False,False,False,False,-0.14880952380953438,13.000000000000004,74.6,False,
A,PC,DE,2019,66.7,e,,DE,Germany,2019,recycling_rate_pct,Recycling rate of municipal waste (%),False,1.8544591078819348,2.014506666666667,False,False,False,False,False,-0.5961251862891093,13.000000000000004,74.6,False,
A,PC,DE,2020,70.3,p,,DE,Germany,2020,recycling_rate_pct,Recycling rate of municipal waste (%),False,2.1666943846637183,2.3382666666666667,False,False,False,False,False,5.397301349325323,13.000000000000004,74.6,False,
A,PC,DE,2021,71.4,,,DE,Germany,2021,recycling_rate_pct,Recycling rate of municipal waste (%),False,2.26209960812482,2.437193333333334,False,False,False,False,False,1.5647226173542084,13.000000000000004,74.6,False,
A,PC,DE,2022,69.6,,,DE,Germany,2022,recycling_rate_pct,Recycling rate of municipal waste (%),False,2.105981969733927,2.2753133333333326,False,False,False,False,False,-2.521008403361358,13.000000000000004,74.6,False,
A,PC,DE,2023,68.7,,,DE,Germany,2023,recycling_rate_pct,Recycling rate of municipal waste (%),False,2.0279231505384816,2.1943733333333335,False,False,False,False,False,-1.2931034482758452,13.000000000000004,74.6,False,
A,PC,DK,2015,47.4,,,DK,Denmark,2015,recycling_rate_pct,Recycling rate of municipal waste (%),False,0.18053109624625802,0.27879333333333345,False,False,False,False,False,,13.000000000000004,74.6,False,
A,PC,DK,2016,48.3,,,DK,Denmark,2016,recycling_rate_pct,Recycling rate of municipal waste (%),False,0.25858991544170395,0.35973333333333335,False,False,False,False,False,1.8987341772151778,13.000000000000004,74.6,False,
A,PC,DK,2017,47.6,,,DK,Denmark,2017,recycling_rate_pct,Recycling rate of municipal waste (%),False,0.19787750051191294,0.2967800000000004,False,False,False,False,False,-1.449275362318836,13.000000000000004,74.6,False,
A,PC,DK,2018,49.9,,,DK,Denmark,2018,recycling_rate_pct,Recycling rate of municipal waste (%),False,0.3973611495669415,0.5036266666666668,False,False,False,False,False,4.8319327731092265,13.000000000000004,74.6,False,
A,PC,DK,2019,51.5,,,DK,Denmark,2019,recycling_rate_pct,Recycling rate of municipal waste (%),False,0.5361323836921791,0.6475200000000002,False,False,False,False,False,3.206412825651306,13.000000000000004,74.6,False,
A,PC,DK,2020,45.0,,,DK,Denmark,2020,recycling_rate_pct,Recycling rate of municipal waste (%),False,-0.02762575494159799,0.06295333333333358,False,False,False,False,True,-12.621359223300976,13.000000000000004,74.6,True,temporal
A,PC,DK,2021,49.0,,,DK,Denmark,2021,recycling_rate_pct,Recycling rate of municipal waste (%),False,0.3193023303714956,0.42268666666666693,False,False,False,False,False,8.888888888888879,13.000000000000004,74.6,False,
A,PC,DK,2022,50.3,,,DK,Denmark,2022,recycling_rate_pct,Recycling rate of municipal waste (%),False,0.4320539580982507,0.5396,False,False,False,False,False,2.6530612244897833,13.000000000000004,74.6,False,
A,PC,DK,2023,46.6,,,DK,Denmark,2023,recycling_rate_pct,Recycling rate of municipal waste (%),False,0.11114547918363955,0.20684666666666704,False,False,False,False,False,-7.355864811133195,13.000000000000004,74.6,False,
A,PC,ES,2015,30.0,,,ES,Spain,2015,recycling_rate_pct,Recycling rate of municipal waste (%),False,-1.328606074865699,-1.2860466666666666,False,False,False,False,False,,13.000000000000004,74.6,False,
A,PC,ES,2016,33.9,,,ES,Spain,2016,recycling_rate_pct,Recycling rate of municipal waste (%),False,-0.9903511916854327,-0.9353066666666666,False,False,False,False,True,12.99999999999999,13.000000000000004,74.6,True,temporal
A,PC,ES,2017,36.1,,,ES,Spain,2017,recycling_rate_pct,Recycling rate of municipal waste (%),False,-0.799540744763231,-0.737453333333333,False,False,False,False,False,6.4896755162241915,13.000000000000004,74.6,False,
A,PC,ES,2018,34.8,,,ES,Spain,2018,recycling_rate_pct,Recycling rate of municipal waste (%),False,-0.9122923724899868,-0.8543666666666667,False,False,False,False,False,-3.6011080332410073,13.000000000000004,74.6,False,
A,PC,ES,2019,38.0,,,ES,Spain,2019,recycling_rate_pct,Recycling rate of municipal waste (%),False,-0.6347499042395117,-0.5665799999999998,False,False,False,False,False,9.195402298850585,13.000000000000004,74.6,False,
A,PC,ES,2020,40.4,,,ES,Spain,2020,recycling_rate_pct,Recycling rate of municipal waste (%),False,-0.4265930530516557,-0.3507399999999999,False,False,False,False,False,6.315789473684208,13.000000000000004,74.6,False,
A,PC,ES,2021,43.7,,,ES,Spain,2021,recycling_rate_pct,Recycling rate of municipal waste (%),False,-0.14037738266835315,-0.05395999999999949,False,False,False,False,False,8.168316831683175,13.000000000000004,74.6,False,
A,PC,ES,2022,42.9,p,,ES,Spain,2022,recycling_rate_pct,Recycling rate of municipal waste (%),False,-0.20976299973097223,-0.12590666666666653,False,False,False,False,False,-1.830663615560646,13.000000000000004,74.6,False,
A,PC,ES,2023,41.4,e,,ES,Spain,2023,recycling_rate_pct,Recycling rate of municipal waste (%),False,-0.33986103172338233,-0.2608066666666665,False,False,False,False,False,-3.4965034965035002,13.000000000000004,74.6,False,
A,PC,FR,2015,40.7,,,FR,France,2015,recycling_rate_pct,Recycling rate of municipal waste (%),False,-0.4005734466531733,-0.32375999999999944,False,False,False,False,False,,13.000000000000004,74.6,False,
A,PC,FR,2016,39.7,e,,FR,France,2016,recycling_rate_pct,Recycling rate of municipal waste (%),False,-0.4873054679814467,-0.4136933333333328,False,False,False,False,False,-2.457002457002455,13.000000000000004,74.6,False,
A,PC,FR,2017,40.2,e,,FR,France,2017,recycling_rate_pct,Recycling rate of municipal waste (%),False,-0.44393945731731,-0.36872666666666615,False,False,False,False,False,1.2594458438287104,13.000000000000004,74.6,False,
A,PC,FR,2018,40.7,e,,FR,France,2018,recycling_rate_pct,Recycling rate of municipal waste (%),False,-0.4005734466531733,-0.32375999999999944,False,False,False,False,False,1.243781094527363,13.000000000000004,74.6,False,
A,PC,FR,2019,41.0,e,,FR,France,2019,recycling_rate_pct,Recycling rate of municipal waste (%),False,-0.3745538402546916,-0.29677999999999977,False,False,False,False,False,0.7371007371007376,13.000000000000004,74.6,False,
A,PC,FR,2020,39.3,e,,FR,France,2020,recycling_rate_pct,Recycling rate of municipal waste (%),False,-0.5219982765127565,-0.44966666666666666,False,False,False,False,False,-4.146341463414638,13.000000000000004,74.6,False,
A,PC,FR,2021,40.9,e,,FR,France,2021,recycling_rate_pct,Recycling rate of municipal waste (%),False,-0.38322704238751903,-0.3057733333333332,False,False,False,False,False,4.071246819338437,13.000000000000004,74.6,False,
A,PC,FR,2022,40.1,ep,,FR,France,2022,recycling_rate_pct,Recycling rate of municipal waste (%),False,-0.45261265945013746,-0.37771999999999956,False,False,False,False,False,-1.9559902200488977,13.000000000000004,74.6,False,
A,PC,FR,2023,40.3,e,,FR,France,2023,recycling_rate_pct,Recycling rate of municipal waste (%),False,-0.43526625518448314,-0.35973333333333335,False,False,False,False,False,0.4987531172069737,13.000000000000004,74.6,False,
A,PC,HU,2015,32.2,,,HU,Hungary,2015,recycling_rate_pct,Recycling rate of municipal waste (%),False,-1.137795627943497,-1.088193333333333,False,False,False,False,False,,13.000000000000004,74.6,False,
A,PC,HU,2016,34.7,,,HU,Hungary,2016,recycling_rate_pct,Recycling rate of municipal waste (%),False,-0.9209655746228137,-0.8633599999999995,False,False,False,False,False,7.763975155279512,13.000000000000004,74.6,False,
