STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,inet_tec,Internet technologies,terrtypo,Territorial typology,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,AT,Austria,2019,,13.8,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,AT,Austria,2020,,39.3,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,AT,Austria,2021,,45.4,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,AT,Austria,2022,,54.8,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,AT,Austria,2023,,67.6,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,AT,Austria,2024,,72.2,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,BE,Belgium,2019,,66.5,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,BE,Belgium,2020,,67.5,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,BE,Belgium,2021,,68.9,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,BE,Belgium,2022,,78.3,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,BE,Belgium,2023,,91.2,,,,,
dataflow,ESTAT:SDG_17_60(1.0),"High-speed internet coverage, by type of area",A,Annual,PC_HH,Percentage of households,VHCN_FX,Fixed very high capacity networks (VHCN),TOTAL,Total,BE,Belgium,2024,,93.8,,,,,
