STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_ur,Urban audit indicator,cities,Geopolitical entity (declaring),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE,Belgium,2015,,38380415.00,,,,,
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE,Belgium,2016,,34083462.00,,,,,
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE,Belgium,2017,,35936565.00,,,,,
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE,Belgium,2018,,38095506.00,,,,,
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE,Belgium,2019,,39467507.00,,,,,
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE,Belgium,2020,,20177486.00,,,,,
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE001C,Bruxelles/Brussel (greater city),2015,,6443213.00,,,,,
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE001C,Bruxelles/Brussel (greater city),2016,,5210495.00,,,,,
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE001C,Bruxelles/Brussel (greater city),2017,,6335177.00,,,,,
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE001C,Bruxelles/Brussel (greater city),2018,,6993061.00,,,,,
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE001C,Bruxelles/Brussel (greater city),2019,,,,,,C,confidential
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE001C,Bruxelles/Brussel (greater city),2020,,1782873.00,,,,,
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE002C,Antwerpen (greater city),2015,,,,,,C,confidential
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE002C,Antwerpen (greater city),2016,,,,,,C,confidential
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE002C,Antwerpen (greater city),2017,,1889173.00,,,,,
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE002C,Antwerpen (greater city),2018,,,,,,C,confidential
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE002C,Antwerpen (greater city),2019,,2147007.00,,,,,
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE002C,Antwerpen (greater city),2020,,725493.00,,,,,
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE003C,Gent,2015,,,,,,C,confidential
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE003C,Gent,2016,,,,,,C,confidential
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE003C,Gent,2017,,1020842.00,,,,,
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE003C,Gent,2018,,,,,,C,confidential
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE003C,Gent,2019,,1210552.00,,,,,
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE003C,Gent,2020,,501209.00,,,,,
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE004C,Charleroi (greater city),2015,,242703.00,,,,,
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE004C,Charleroi (greater city),2016,,247045.00,,,,,
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE004C,Charleroi (greater city),2017,,272373.00,,,,,
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE004C,Charleroi (greater city),2018,,253603.00,,,,,
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE004C,Charleroi (greater city),2019,,,,,,C,confidential
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE004C,Charleroi (greater city),2020,,,,,,C,confidential
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE005C,Liège (greater city),2015,,,,,,C,confidential
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE005C,Liège (greater city),2016,,,,,,C,confidential
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE005C,Liège (greater city),2017,,471203.00,,,,,
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE005C,Liège (greater city),2018,,,,,,C,confidential
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE005C,Liège (greater city),2019,,,,,,C,confidential
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE005C,Liège (greater city),2020,,,,,,C,confidential
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE006C,Brugge,2015,,,,,,C,confidential
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE006C,Brugge,2016,,,,,,C,confidential
dataflow,ESTAT:URB_CTOUR(1.0),Culture and tourism - cities and greater cities,A,Annual,CR2001V,Total nights spent in tourist accommodation establishments,BE006C,Brugge,2017,,1968274.00,,,,,
